"Salary","AVG","OBP","Name"
3300,0.272,0.302,"Andre Dawson     "
2600,0.269,0.335,"Steve Buchele    "
2500,0.249,0.337,"Kal Daniels      "
2475,0.26,0.292,"Shawon Dunston   "
2313,0.273,0.346,"Mark Grace       "
2175,0.291,0.379,"Ryne Sandberg    "
600,0.258,0.37,"Luis Salazar     "
460,0.228,0.279,"Dwight Smith     "
240,0.25,0.327,"Doug Dascenzo    "
200,0.203,0.24,"Sammy Sosa       "
177,0.262,0.283,"Jose Vizcaino    "
140,0.222,0.307,"Rick Wilkins     "
117,0.227,0.28,"Derrick May      "
115,0.261,0.37,"Rey Sanchez      "
2600,0.3,0.368,"Ivan Calderon    "
1907,0.225,0.292,"Tim Wallach      "
1190,0.255,0.321,"Spike Owen       "
990,0.29,0.349,"Larry Walker     "
925,0.246,0.323,"Gary Carter      "
365,0.208,0.265,"Tom Foley        "
302,0.238,0.347,"Delino DeShields "
300,0.267,0.31,"Marquis Grissom  "
129,0.353,0.435,"Bret Barberie    "
111,0.213,0.222,"John VanderWal   "
6100,0.302,0.391,"Bobby Bonilla    "
4125,0.26,0.321,"Eddie Murray     "
3213,0.255,0.347,"Vince Coleman    "
2319,0.259,0.349,"Howard Johnson   "
2000,0.223,0.307,"Kevin Bass       "
1600,0.225,0.31,"Dick Schofield   "
1394,0.258,0.381,"Dave Magadan     "
935,0.275,0.351,"Daryl Boston     "
850,0.327,0.424,"Willie Randolph  "
775,0.272,0.3,"Mackey Sasser    "
760,0.241,0.32,"Kevin Elster     "
629,0.293,0.355,"Dave Gallagher   "
275,0.257,0.315,"Chico Walker     "
120,0.225,0.33,"Chris Donnels    "
2567,0.196,0.297,"Darren Daulton   "
2500,0.252,0.309,"Dale Murphy      "
2350,0.294,0.367,"John Kruk        "
2317,0.297,0.391,"Lenny Dykstra    "
2000,0.258,0.288,"Mariano Duncan   "
715,0.205,0.268,"Stan Javier      "
660,0.272,0.304,"Ricky Jordan     "
650,0.243,0.344,"Wally Backman    "
260,0.337,0.413,"Jim Lindeman     "
250,0.228,0.238,"Steve Lake       "
200,0.24,0.3,"Wes Chamberlain  "
180,0.298,0.378,"Dave Hollins     "
180,0.249,0.313,"Mickey Morandini "
5150,0.292,0.41,"Barry Bonds      "
4450,0.265,0.355,"Andy Van Slyke   "
2000,0.265,0.306,"Jose Lind        "
1850,0.289,0.351,"Mike LaValliere  "
1192,0.295,0.363,"Don Slaught      "
875,0.27,0.33,"Jay Bell         "
825,0.246,0.324,"Gary Redus       "
525,0.288,0.366,"Lloyd McClendon  "
367,0.273,0.344,"Gary Varsho      "
325,0.239,0.328,"Jeff King        "
320,0.244,0.281,"Cecil Espy       "
150,0.275,0.373,"Orlando Merced   "
113,0.34,0.381,"John Wehner      "
113,0.25,0.28,"Carlos Garcia    "
2425,0.272,0.326,"Pedro Guerrero   "
2367,0.219,0.268,"Andres Galarraga "
2050,0.24,0.357,"Jose Guillen     "
2000,0.285,0.38,"Ozzie Smith      "
1617,0.307,0.368,"Milt Thompson    "
1167,0.24,0.3,"Gerald Perry     "
992,0.264,0.319,"Tom Pagnozzi     "
400,0.227,0.26,"Rex Hudler       "
315,0.305,0.36,"Felix Jose       "
315,0.28,0.353,"Todd Zeile       "
230,0.251,0.301,"Ray Lankford     "
135,0.216,0.316,"Bernard Gilkey   "
130,0.243,0.322,"Geronimo Pena    "
3150,0.319,0.363,"Terry Pendleton  "
2785,0.297,0.371,"Otis Nixon       "
2700,0.251,0.338,"Ron Gant         "
2400,0.253,0.313,"Sid Bream        "
1750,0.275,0.377,"Lonnie Smith     "
1262,0.32,0.368,"Jeff Treadway    "
940,0.259,0.358,"Jeff Blauser     "
555,0.275,0.377,"David Justice    "
500,0.249,0.296,"Rafael Belliard  "
370,0.188,0.243,"Damon Berryhill  "
350,0.241,0.316,"Greg Olson       "
148,0.242,0.284,"Francisco Cabrera"
146,0.251,0.296,"Brian Hunter     "
4350,0.302,0.378,"Barry Larkin     "
2833,0.28,0.359,"Bill Doran       "
2833,0.256,0.346,"Paul O'Neill     "
2750,0.301,0.354,"Chris Sabo       "
1550,0.281,0.342,"Bip Roberts      "
1300,0.234,0.301,"Dave Martinez    "
1000,0.26,0.323,"Geronimo Berroa  "
750,0.267,0.321,"Jeff Reed        "
430,0.318,0.374,"Hal Morris       "
260,0.216,0.265,"Joe Oliver       "
120,0.286,0.303,"Freddie Benavides"
1500,0.253,0.312,"Ken Caminiti     "
1458,0.295,0.358,"Craig Biggio     "
1210,0.285,0.331,"Steve Finley     "
935,0.262,0.319,"Casey Candaele   "
800,0.214,0.29,"Pete Incaviglia  "
395,0.218,0.327,"Gerald Young     "
350,0.294,0.387,"Jeff Bagwell     "
285,0.254,0.32,"Luis Gonzalez    "
139,0.243,0.27,"Andujar Cedeno   "
133,0.153,0.227,"Eric Anthony     "
4050,0.265,0.361,"Darryl Strawberry"
3600,0.235,0.353,"Eric Davis       "
3333,0.296,0.401,"Brett Butler     "
2183,0.264,0.353,"Mike Scioscia    "
1150,0.294,0.338,"Todd Benzinger   "
840,0.287,0.349,"Lenny Harris     "
587,0.278,0.355,"Mike Sharperson  "
400,0.222,0.296,"Mitch Webster    "
350,0.248,0.286,"Dave Anderson    "
135,0.268,0.293,"Dave Hansen      "
135,0.214,0.25,"Carlos Hernandez "
135,0.195,0.345,"Jose Offerman    "
4075,0.278,0.396,"Fred McGriff     "
3300,0.267,0.296,"Benito Santiago  "
2387,0.317,0.355,"Tony Gwynn       "
2100,0.272,0.337,"Tony Fernandez   "
1750,0.265,0.322,"Kurt Stillwell   "
805,0.262,0.315,"Darrin Jackson   "
725,0.194,0.277,"Gary Sheffield   "
687,0.217,0.319,"Tim Teufel       "
200,0.228,0.295,"Jerald Clark     "
130,0.286,0.444,"Phil Stephenson  "
125,0.269,0.345,"Dann Bilardello  "
120,0.246,0.267,"Oscar Azocar     "
117,0.275,0.298,"Craig Shipley    "
114,0.243,0.308,"Dan Walters      "
4275,0.301,0.359,"Will Clark       "
3563,0.312,0.357,"Willie McGee     "
2000,0.268,0.31,"Matt Williams    "
1600,0.262,0.352,"Robby Thompson   "
1533,0.221,0.283,"Jose Uribe       "
940,0.175,0.216,"Corey Snyder     "
850,0.238,0.273,"Chris James      "
650,0.264,0.325,"Mike Felder      "
360,0.225,0.271,"Kirt Manwaring   "
150,0.123,0.188,"Mike Benjamin    "
145,0.246,0.358,"Darren Lewis     "
140,0.24,0.306,"Mark Leonard     "
109,0.115,0.148,"Royce Clayton    "
109,0.12,0.185,"Ted Wood         "
3415,0.227,0.307,"Glenn Davis      "
2100,0.323,0.374,"Cal Ripken       "
1300,0.278,0.321,"Joe Orsulak      "
1200,0.263,0.373,"Randy Milligan   "
1025,0.26,0.313,"Mike Devereaux   "
730,0.216,0.253,"Billy Ripken     "
687,0.233,0.326,"Sam Horn         "
380,0.204,0.255,"Tim Hulett       "
365,0.23,0.336,"Brady Anderson   "
175,0.243,0.304,"Chris Hoiles     "
150,0.233,0.302,"Leo Gomez        "
150,0.278,0.316,"David Segui      "
140,0.269,0.303,"Chito Martinez   "
3050,0.3,0.35,"Mike Greenwell   "
2900,0.249,0.374,"Jack Clark       "
2850,0.229,0.303,"Tom Brunansky    "
2700,0.332,0.421,"Wade Boggs       "
2400,0.231,0.291,"Tony Pena        "
2300,0.251,0.314,"Ellis Burks      "
1650,0.262,0.312,"Billy Hatcher    "
1600,0.283,0.349,"Jody Reed        "
1075,0.258,0.318,"Luis Rivera      "
550,0.225,0.272,"Herm Winningham  "
350,0.263,0.271,"John Marzano     "
340,0.295,0.375,"Carlos Quintana  "
155,0.26,0.339,"Mo Vaughn        "
145,0.457,0.486,"Scott Cooper     "
950,0.262,0.307,"Felix Fermin     "
700,0.243,0.279,"Joel Skinner     "
550,0.224,0.274,"Brook Jacoby     "
525,0.217,0.264,"Sandy Alomar     "
525,0.288,0.346,"Carlos Baerga    "
333,0.243,0.297,"Mark Whiten      "
325,0.258,0.324,"Glenallen Hill   "
300,0.209,0.293,"Junior Ortiz     "
200,0.284,0.31,"Carlos Martinez  "
175,0.282,0.323,"Albert Belle     "
158,0.249,0.309,"Thomas Howard    "
145,0.264,0.293,"Mark Lewis       "
4500,0.261,0.347,"Cecil Fielder    "
3358,0.263,0.387,"Mickey Tettleton "
2400,0.248,0.32,"Alan Trammell    "
2200,0.279,0.391,"Lou Whitaker     "
2017,0.179,0.314,"Rob Deer         "
1567,0.284,0.371,"Tony Phillips    "
1050,0.247,0.306,"Dan Gladden      "
375,0.237,0.351,"Dave Bergman     "
355,0.26,0.293,"Mark Carreon     "
300,0.259,0.309,"Travis Fryman    "
230,0.257,0.335,"Milt Cuyler      "
150,0.289,0.325,"Skeeter Barnes   "
120,0.291,0.341,"Scott Livingstone"
109,0.216,0.341,"Gary Pettis      "
3453,0.325,0.399,"Paul Molitor     "
3200,0.26,0.332,"Robin Yount      "
2530,0.289,0.319,"B.J. Surhoff     "
2167,0.213,0.282,"Franklin Stubbs  "
1150,0.286,0.32,"Jim Gantner      "
750,0.283,0.337,"Bill Spiers      "
500,0.244,0.319,"Greg Vaughn      "
395,0.311,0.361,"Darryl Hamilton  "
300,0.206,0.262,"Scott Fletcher   "
284,0.265,0.35,"Kevin Seitzer    "
230,0.238,0.272,"Dante Bichette   "
109,0.364,0.364,"Tim McIntosh     "
5300,0.316,0.397,"Danny Tartabull  "
3620,0.288,0.339,"Don Mattingly    "
2500,0.268,0.308,"Matt Nokes       "
2167,0.225,0.312,"Jesse Barfield   "
2150,0.267,0.333,"Roberto Kelly    "
1950,0.247,0.343,"Mike Gallego     "
1300,0.285,0.321,"Mel Hall         "
360,0.245,0.322,"Randy Velarde    "
280,0.23,0.257,"Charlie Hayes    "
255,0.22,0.333,"Kevin Maas       "
147,0.242,0.288,"Pat Kelly        "
125,0.238,0.336,"Bernie Williams  "
109,0.308,0.31,"John Ramos       "
3742,0.273,0.33,"Joe Carter       "
3633,0.252,0.308,"Kelly Griffin    "
2983,0.295,0.354,"Roberto Alomar   "
2383,0.282,0.342,"Devon White      "
2300,0.262,0.326,"Dave Winfield    "
1375,0.25,0.342,"Candy Maldonado  "
1000,0.244,0.271,"Pat Borders      "
1000,0.234,0.274,"Manuel Lee       "
900,0.216,0.318,"Pat Tabler       "
775,0.25,0.364,"Rance Mulliniks  "
600,0.243,0.286,"Alfredo Griffin  "
387,0.256,0.353,"John Olerud      "
117,0.275,0.361,"Ed Sprague       "
2700,0.246,0.293,"Gary Gaetti      "
2317,0.238,0.322,"Hubie Brooks     "
1650,0.296,0.352,"Luis Polonia     "
640,0.263,0.321,"Junior Felix     "
190,0.258,0.295,"Luis Sojo        "
170,0.2,0.258,"Ron Tingley      "
135,0.211,0.274,"Gary DiSarcina   "
130,0.203,0.313,"John Orton       "
130,0.293,0.354,"Lee Stevens      "
3650,0.285,0.323,"George Bell      "
3575,0.304,0.345,"Steve Sax        "
3500,0.268,0.359,"Tim Raines       "
2500,0.259,0.358,"Dan Pasqua       "
1900,0.273,0.284,"Ozzie Guillen    "
1350,0.241,0.299,"Carlton Fisk     "
740,0.284,0.367,"Robin Ventura    "
650,0.246,0.31,"Ron Karkovice    "
620,0.318,0.453,"Frank Thomas     "
565,0.274,0.304,"Lance Johnson    "
235,0.241,0.313,"Joey Cora        "
225,0.165,0.218,"Shawn Abner      "
200,0.281,0.386,"Craig Grebeck    "
145,0.251,0.361,"Mike Huff        "
120,0.217,0.25,"Shawn Jeter      "
109,0.225,0.333,"Bo Jackson       "
4200,0.301,0.36,"Wally Joyner     "
3417,0.259,0.322,"Kevin McReynolds "
3100,0.255,0.327,"George Brett     "
1650,0.301,0.333,"Jim Eisenreich   "
1150,0.272,0.338,"Gregg Jeffries   "
900,0.25,0.279,"Bob Melvin       "
740,0.277,0.33,"Mike Macfarlane  "
575,0.28,0.336,"Keith Miller     "
425,0.252,0.301,"Chris Gwynn      "
400,0.188,0.243,"Curtis Wilkerson "
287,0.277,0.32,"Gary Thurman     "
275,0.261,0.289,"Brian McRae      "
183,0.217,0.283,"Terry Shumpert   "
170,0.251,0.315,"Brent Mayne      "
153,0.216,0.267,"David Howard     "
109,0.271,0.328,"Juan Samuel      "
3100,0.284,0.373,"Kent Hrbek       "
2992,0.319,0.352,"Kirby Puckett    "
2800,0.277,0.385,"Chili Davis      "
2500,0.311,0.336,"Brian Harper     "
1933,0.265,0.31,"Greg Gagne       "
1200,0.279,0.322,"Mike Pagliarulo  "
1075,0.31,0.363,"Shane Mack       "
950,0.286,0.361,"Gene Larkin      "
450,0.303,0.401,"Randy Bush       "
360,0.281,0.351,"Chuck Knoblauch  "
175,0.286,0.378,"Scott Leius      "
155,0.283,0.327,"Pedro Munoz      "
5000,0.307,0.357,"Ruben Sierra     "
3250,0.268,0.4,"Rickey Henderson "
2825,0.201,0.33,"Mark McGwire     "
2600,0.276,0.346,"Dave Henderson   "
2050,0.274,0.312,"Terry Steinbach  "
1583,0.295,0.383,"Harold Baines    "
1150,0.063,0.063,"Carney Lansford  "
1100,0.238,0.29,"Willie Wilson    "
760,0.226,0.286,"Walt Weiss       "
525,0.261,0.321,"Jamie Quirk      "
500,0.249,0.385,"Randy Ready      "
205,0.249,0.336,"Lance Blankenship"
185,0.238,0.289,"Mike Bordick     "
115,0.235,0.268,"Scott Brosius    "
3750,0.256,0.338,"Kevin Mitchell   "
2188,0.248,0.3,"Pete O'Brien     "
2167,0.254,0.332,"Harold Reynolds  "
2167,0.194,0.286,"Dave Valle       "
2050,0.327,0.399,"Ken Griffey      "
1445,0.244,0.337,"Jay Buhner       "
875,0.305,0.347,"Henry Cotto      "
560,0.307,0.405,"Edgar Martinez   "
360,0.23,0.302,"Omar Vizquel     "
162,0.247,0.286,"Dave Cochrane    "
133,0.205,0.272,"Tino Martinez    "
109,0.216,0.285,"Lance Parrish    "
4300,0.266,0.359,"Jose Canseco     "
3850,0.322,0.389,"Rafael Palmeiro  "
2387,0.341,0.408,"Julio Franco     "
950,0.278,0.377,"Brian Downing    "
675,0.271,0.339,"Geno Petralli    "
600,0.252,0.283,"Dickie Thon      "
287,0.264,0.321,"Juan Gonzalez    "
230,0.269,0.332,"Kevin Reimer     "
215,0.194,0.27,"Jack Daugherty   "
183,0.213,0.312,"Jeff Huson       "
170,0.111,0.138,"John Russell     "
160,0.264,0.318,"Mario Diaz       "
142,0.187,0.281,"Dean Palmer      "
140,0.264,0.27,"Ivan Rodriguez   "
109,0.258,0.395,"Monty Fariss     "
